Student_ID,Age,Gender,City,Education_Level,Employment_Status,Course_Name,Course_Category,Course_Fee_INR,Device_Used,Enrollment_Date,Time_Spent_Hours,Videos_Watched,Assignments_Submitted,Quiz_Score,Login_Frequency_Per_Month,Completion_Status,Certificate_Earned,Course_Rating,Feedback_Sentiment,Completion_Flag,Age_Group
STU0001,24,Male,Ahmedabad,Bachelor's,Working Professional,Business Intelligence,BI Tools,4499,Tablet,2024-10-16,102,13,6,66,12,Completed,Yes,5.0,Positive,1,18-24
STU0002,37,Female,Chennai,Bachelor's,Working Professional,Web Development with HTML/CSS,Programming,2999,Desktop,2023-04-25,6,3,6,69,1,Dropped,No,0.0,Negative,0,31-37
STU0003,32,Male,Pune,Master's,Working Professional,Web Development with HTML/CSS,Programming,2999,Desktop,2023-01-26,108,44,4,97,15,Completed,Yes,4.5,Positive,1,31-37
STU0004,28,Male,Bangalore,Bachelor's,Working Professional,Digital Marketing Analytics,Marketing,3999,Tablet,2023-10-09,89,17,0,45,25,Completed,Yes,4.4,Neutral,1,25-30
STU0005,25,Female,Kolkata,Bachelor's,Working Professional,Excel for Analytics,BI Tools,1499,Mobile,2023-09-08,15,28,13,22,18,Dropped,No,0.0,Negative,0,25-30
STU0006,38,Male,Chennai,Bachelor's,Freelancer,Excel for Analytics,BI Tools,1499,Desktop,2023-08-17,4,34,17,70,6,Dropped,No,0.0,Negative,0,38-44
STU0007,24,Female,Bangalore,Bachelor's,Job Seeker,Python for Beginners,Programming,1999,Desktop,2023-05-23,56,37,12,59,10,Dropped,No,0.0,Negative,0,18-24
STU0008,43,Male,Hyderabad,Bachelor's,Job Seeker,Business Intelligence,BI Tools,4499,Mobile,2023-04-15,64,15,7,87,14,Completed,Yes,4.4,Positive,1,38-44
STU0009,36,Female,Mumbai,High School,Job Seeker,Machine Learning Basics,AI/ML,5999,Desktop,2024-11-23,68,19,7,55,21,Completed,Yes,4.0,Positive,1,31-37
STU0010,40,Male,Hyderabad,Bachelor's,Working Professional,Business Intelligence,BI Tools,4499,Mobile,2024-07-12,94,23,9,70,26,Completed,Yes,4.0,Positive,1,38-44
STU0011,28,Other,Pune,Bachelor's,Working Professional,SQL Fundamentals,Data Analytics,2499,Desktop,2023-03-31,34,34,16,20,29,Dropped,No,0.0,Negative,0,25-30
STU0012,28,Female,Ahmedabad,Master's,Freelancer,Excel for Analytics,BI Tools,1499,Desktop,2024-08-27,91,43,5,52,8,Completed,Yes,4.1,Positive,1,25-30
STU0013,41,Male,Ahmedabad,High School,Job Seeker,Data Science with Python,Data Analytics,4999,Mobile,2024-03-08,95,18,14,26,27,Completed,Yes,4.9,Negative,1,38-44
STU0014,38,Female,Delhi,Bachelor's,Student,Statistics for Data Science,Data Analytics,3999,Desktop,2023-02-02,56,3,14,71,3,Dropped,No,0.0,Negative,0,38-44
STU0015,21,Other,Delhi,Master's,Working Professional,Excel for Analytics,BI Tools,1499,Mobile,2023-01-31,32,32,15,30,22,Dropped,No,0.0,Negative,0,18-24
STU0016,25,Male,Delhi,Bachelor's,Student,Digital Marketing Analytics,Marketing,3999,Mobile,2023-04-06,108,1,7,46,22,Completed,No,4.4,Positive,1,25-30
STU0017,41,Male,Hyderabad,Bachelor's,Working Professional,Data Science with Python,Data Analytics,4999,Mobile,2023-08-12,103,12,18,33,26,Completed,Yes,3.6,Positive,1,38-44
STU0018,20,Male,Chennai,Master's,Working Professional,Digital Marketing Analytics,Marketing,3999,Desktop,2023-08-27,116,44,19,99,19,Completed,Yes,4.1,Positive,1,18-24
STU0019,39,Male,Mumbai,Master's,Working Professional,Power BI Masterclass,BI Tools,3499,Mobile,2024-06-01,9,29,14,65,12,Dropped,No,0.0,Negative,0,38-44
STU0020,38,Female,Delhi,Master's,Student,Statistics for Data Science,Data Analytics,3999,Desktop,2024-09-08,63,33,2,95,12,Completed,Yes,4.1,Positive,1,38-44
STU0021,19,Female,Pune,Master's,Working Professional,Statistics for Data Science,Data Analytics,3999,Desktop,2023-01-28,105,29,5,29,15,Completed,Yes,4.8,Positive,1,18-24
