Student_ID,Age,Gender,City,Education_Level,Employment_Status,Course_Name,Course_Category,Course_Fee_INR,Device_Used,Enrollment_Date,Time_Spent_Hours,Videos_Watched,Assignments_Submitted,Quiz_Score,Login_Frequency_Per_Month,Completion_Status,Certificate_Earned,Course_Rating,Feedback_Sentiment
STU0001,24,Male,Ahmedabad,Bachelor's,Working Professional,Business Intelligence,BI Tools,4499,Tablet,16-10-2024,102,13,6,66,12,Completed,Yes,5,Positive
STU0002,37,Female,Chennai,Bachelor's,Working Professional,Web Development with HTML/CSS,Programming,2999,Desktop,25-04-2023,6,3,6,69,1,Dropped,No,,Negative
STU0003,32,Male,Pune,Master's,Working Professional,Web Development with HTML/CSS,Programming,2999,Desktop,26-01-2023,108,44,4,97,15,Completed,Yes,4.5,Positive
STU0004,28,Male,Bangalore,Bachelor's,Working Professional,Digital Marketing Analytics,Marketing,3999,Tablet,09-10-2023,89,17,0,45,25,Completed,Yes,4.4,Neutral
STU0005,25,Female,Kolkata,Bachelor's,Working Professional,Excel for Analytics,BI Tools,1499,Mobile,08-09-2023,15,28,13,22,18,Dropped,No,,Negative
STU0006,38,Male,Chennai,Bachelor's,Freelancer,Excel for Analytics,BI Tools,1499,Desktop,17-08-2023,4,34,17,70,6,Dropped,No,,Negative
STU0007,24,Female,Bangalore,Bachelor's,Job Seeker,Python for Beginners,Programming,1999,Desktop,23-05-2023,56,37,12,59,10,Dropped,No,,Negative
STU0008,43,Male,Hyderabad,Bachelor's,Job Seeker,Business Intelligence,BI Tools,4499,Mobile,15-04-2023,64,15,7,87,14,Completed,Yes,4.4,Positive
STU0009,36,Female,Mumbai,High School,Job Seeker,Machine Learning Basics,AI/ML,5999,Desktop,23-11-2024,68,19,7,55,21,Completed,Yes,4,Positive
STU0010,40,Male,Hyderabad,Bachelor's,Working Professional,Business Intelligence,BI Tools,4499,Mobile,12-07-2024,94,23,9,70,26,Completed,Yes,4,Positive
STU0011,28,Other,Pune,Bachelor's,Working Professional,SQL Fundamentals,Data Analytics,2499,Desktop,31-03-2023,34,34,16,20,29,Dropped,No,,Negative
STU0012,28,Female,Ahmedabad,Master's,Freelancer,Excel for Analytics,BI Tools,1499,Desktop,27-08-2024,91,43,5,52,8,Completed,Yes,4.1,Positive
STU0013,41,Male,Ahmedabad,High School,Job Seeker,Data Science with Python,Data Analytics,4999,Mobile,08-03-2024,95,18,14,26,27,Completed,Yes,4.9,Negative
STU0014,38,Female,Delhi,Bachelor's,Student,Statistics for Data Science,Data Analytics,3999,Desktop,02-02-2023,56,3,14,71,3,Dropped,No,,Negative
STU0015,21,Other,Delhi,Master's,Working Professional,Excel for Analytics,BI Tools,1499,Mobile,31-01-2023,32,32,15,30,22,Dropped,No,,Negative
